seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
12,11,1,0,14.551544802419803,13.0,8.067733262015762,2.25,47.0,44.75,20.0,7.6,3.6,3.2
0,11,1,0,14.557398171273169,12.5,8.365582294233553,2.1666666666666665,42.0,39.833333333333336,31.0,5.2,2.6,3.533333333333333
37,11,1,0,14.754632381507372,12.0,8.766108799533813,1.7142857142857142,45.0,43.285714285714285,16.0,5.0,4.2,4.066666666666666
25,11,1,0,14.51570497557997,13.5,8.065865521978012,2.5,40.0,37.5,21.0,4.8,4.9,3.3333333333333335
13,11,1,0,14.599182026307027,11.75,8.416727996586756,2.0,45.0,43.0,34.0,6.0,3.4,2.466666666666667
1,11,1,0,14.035254495504505,12.0,7.656700345487846,2.0,36.0,34.0,8.0,7.6,4.0,3.1333333333333333
38,11,1,0,14.29335739260739,13.333333333333334,7.787645013320022,2.0,42.0,40.0,37.0,2.8,4.2,2.6
26,11,1,0,14.204506562881566,11.333333333333334,7.807683017399265,2.0,48.0,46.0,20.0,4.2,3.6,2.4
14,11,1,0,14.2770568043068,12.0,7.920064481629477,1.8888888888888888,49.0,47.111111111111114,17.0,5.0,5.3,3.533333333333333
39,11,1,0,14.532881895881895,11.5,8.31404587412588,2.0,46.0,44.0,29.0,5.8,3.1,2.466666666666667
2,11,1,0,14.369998876123868,12.0,8.071800966533466,2.5,38.0,35.5,33.0,7.0,3.2,3.1333333333333333
27,11,1,0,14.2637140914641,11.5,8.28902872682874,2.2666666666666666,43.0,40.733333333333334,20.0,7.0,6.3,3.466666666666667
15,11,1,0,14.64590372127872,13.0,8.101604725274726,1.7,50.0,48.3,34.0,6.6,2.8,3.6666666666666665
40,11,1,0,14.25396672771673,12.0,7.846667948717945,2.4,47.0,44.6,15.0,5.0,3.7,2.4
3,11,1,0,14.705568417693412,12.0,8.426155476606736,2.0,48.0,46.0,30.0,9.0,3.0,2.4
28,11,1,0,14.025459706959715,12.0,7.544123040293047,2.0,44.0,42.0,22.0,9.2,2.5,2.0
16,11,1,0,14.258400932400932,12.0,7.702607179487183,2.4285714285714284,37.0,34.57142857142857,25.0,6.2,3.4,2.533333333333333
41,11,1,0,14.696514929514922,12.0,8.583857757797755,1.7142857142857142,48.0,46.285714285714285,27.0,4.2,3.4,3.2
4,11,1,0,14.414470806970808,11.0,8.398423354423347,1.8666666666666667,43.0,41.13333333333333,26.0,4.8,4.2,1.8666666666666667
29,11,1,0,14.366329767454767,13.0,7.807976613941616,2.0,42.0,40.0,13.0,8.6,3.4,2.7333333333333334
17,11,1,0,14.137990134865142,12.333333333333334,7.638568681318675,2.3,46.0,43.7,23.0,4.6,2.3,3.6
42,11,1,0,13.927960914085919,11.333333333333334,7.594835177322668,1.9230769230769231,43.0,41.07692307692308,15.0,4.2,2.8,3.1333333333333333
5,11,1,0,14.478458957708956,12.0,8.128525296370292,2.1333333333333333,53.0,50.86666666666667,35.0,5.6,4.6,2.1333333333333333
30,11,1,0,14.591468129093132,13.0,8.354508046398044,2.066666666666667,47.0,44.93333333333333,19.0,4.4,2.7,2.466666666666667
18,11,1,0,14.045716269841268,12.0,7.372512658730155,2.1818181818181817,46.0,43.81818181818182,46.0,5.0,3.1,2.6666666666666665
6,11,1,0,14.522360944610943,11.5,8.566664025419014,2.0833333333333335,43.0,40.916666666666664,43.0,7.0,4.2,2.533333333333333
43,11,1,0,14.020651737151743,12.5,7.281619953934947,2.2857142857142856,37.0,34.714285714285715,23.0,4.0,4.9,3.933333333333333
31,11,1,0,14.094515762015762,12.5,7.406826129426137,2.1333333333333333,37.0,34.86666666666667,34.0,5.4,2.6,2.1333333333333333
19,11,1,0,14.418188838938839,12.0,8.18035759851261,2.5,57.0,54.5,19.0,7.8,2.6,3.1333333333333333
