seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
0,55,1,0,14.69873142135642,13.0,7.952167092352085,2.4615384615384617,38.0,35.53846153846154,27.0,5.0,2.7,2.533333333333333
50,55,1,0,14.688998445998457,13.5,7.777341460761468,2.125,37.0,34.875,21.0,5.0,3.3,2.933333333333333
150,55,1,0,15.003184385059381,13.0,8.607070365745352,2.4166666666666665,40.0,37.583333333333336,20.0,6.4,4.2,2.6666666666666665
100,55,1,0,14.778505217005225,12.0,8.289915409035409,2.4545454545454546,42.0,39.54545454545455,15.0,5.6,3.4,2.7333333333333334
1,55,1,0,14.718491674991663,13.5,8.069617825507821,2.3846153846153846,36.0,33.61538461538461,13.0,4.8,3.4,2.6
51,55,1,0,14.773289349539352,12.0,8.381772478909967,2.272727272727273,39.0,36.72727272727273,20.0,5.4,4.5,2.4
151,55,1,0,14.58996067821068,12.5,7.88173420995671,2.25,35.0,32.75,31.0,7.4,4.2,2.533333333333333
101,55,1,0,14.763341408591407,14.0,8.112192247752256,2.0,36.0,34.0,22.0,8.0,2.7,2.3333333333333335
2,55,1,0,14.76174797424798,13.5,8.256809343434348,2.25,35.0,32.75,23.0,7.0,3.4,3.3333333333333335
152,55,1,0,14.973165570540575,13.0,8.37968767510269,2.5,39.0,36.5,23.0,4.6,2.9,2.533333333333333
52,55,1,0,14.76757518870018,14.0,8.108479322621822,2.142857142857143,37.0,34.857142857142854,16.0,6.4,2.7,2.6
102,55,1,0,14.738058982683976,12.5,8.078127505411253,2.3333333333333335,43.0,40.666666666666664,21.0,5.8,4.0,3.3333333333333335
3,55,1,0,14.84631870906871,13.0,8.07984997474748,2.1666666666666665,36.0,33.833333333333336,26.0,5.4,2.4,2.4
153,55,1,0,14.833280067155068,12.5,8.343380740231996,2.2142857142857144,39.0,36.785714285714285,16.0,8.0,3.4,2.533333333333333
53,55,1,0,14.493209568209563,13.0,7.651247197247196,1.9090909090909092,42.0,40.09090909090909,22.0,8.6,3.0,2.6666666666666665
103,55,1,0,14.923751970251967,13.0,8.30938570707071,2.4615384615384617,35.0,32.53846153846154,32.0,4.8,3.2,2.533333333333333
4,55,1,0,14.785362692862693,12.0,8.331027203352205,2.25,40.0,37.75,27.0,5.6,3.4,2.8
154,55,1,0,14.676389443889448,13.0,8.046541183816192,2.2,37.0,34.8,25.0,5.2,3.5,2.2
54,55,1,0,14.55401437451437,14.0,7.705846919191914,1.9090909090909092,41.0,39.09090909090909,16.0,4.6,3.9,2.466666666666667
104,55,1,0,14.577733336108347,13.0,7.785817330863588,2.230769230769231,37.0,34.76923076923077,22.0,6.4,3.3,2.466666666666667
5,55,1,0,14.747105436230429,13.0,8.122662998667993,2.0,36.0,34.0,26.0,4.6,3.8,3.0
155,55,1,0,14.902394744144745,13.5,8.18479683538682,2.4285714285714284,42.0,39.57142857142857,28.0,5.6,3.0,2.533333333333333
55,55,1,0,14.70929600954601,12.0,8.191633591408594,2.4,41.0,38.6,22.0,5.2,2.4,2.533333333333333
105,55,1,0,14.691130092130093,13.0,7.982982917082922,2.2142857142857144,35.0,32.785714285714285,26.0,6.2,3.5,3.3333333333333335
6,55,1,0,14.781080821955817,13.0,8.285784027361524,1.8571428571428572,39.0,37.142857142857146,38.0,7.6,3.9,2.533333333333333
156,55,1,0,14.808524045399048,13.5,8.074243118686871,2.2857142857142856,38.0,35.714285714285715,28.0,6.0,2.8,2.533333333333333
