seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
25,34,5,0,14.444146603396607,11.5,8.486898982683977,1.8571428571428572,48.0,46.142857142857146,29.0,2.4,2.8,2.6666666666666665
50,34,5,0,13.97505315517816,11.5,7.829538151431902,2.5555555555555554,56.0,53.44444444444444,17.0,6.4,3.8,3.933333333333333
75,34,5,0,14.23878114940615,10.5,8.62568976093351,2.466666666666667,60.0,57.53333333333333,23.0,6.8,4.1,2.466666666666667
0,34,5,0,14.505553515928513,12.0,8.622168318764574,2.466666666666667,46.0,43.53333333333333,29.0,5.6,3.0,3.0
26,34,5,0,13.978064879564874,11.25,7.961978185703195,2.272727272727273,57.0,54.72727272727273,19.0,7.4,2.8,3.533333333333333
51,34,5,0,14.000291847041847,11.0,8.08476652236652,2.0,50.0,48.0,13.0,4.0,2.0,3.2666666666666666
1,34,5,0,13.687292374292367,12.0,7.419134815184813,1.8571428571428572,40.0,38.142857142857146,10.0,3.4,4.1,3.4
76,34,5,0,14.416926129426134,11.0,8.380617979242984,1.8,45.0,43.2,16.0,5.4,4.2,1.8
27,34,5,0,14.001749139749133,12.5,7.671881547341551,1.6363636363636365,56.0,54.36363636363637,20.0,5.4,3.5,3.4
2,34,5,0,14.196945457320455,12.0,8.03547417957043,2.090909090909091,58.0,55.90909090909091,28.0,2.6,3.7,2.933333333333333
77,34,5,0,14.537692446442446,12.0,8.198338344988349,2.3333333333333335,55.0,52.666666666666664,32.0,7.4,3.3,2.6666666666666665
28,34,5,0,13.724666500166506,11.333333333333334,7.359033474858474,2.7777777777777777,37.0,34.22222222222222,20.0,3.6,3.8,3.4
52,34,5,0,14.338513805638804,11.0,8.40929256493506,1.8181818181818181,51.0,49.18181818181818,16.0,7.4,4.3,3.933333333333333
29,34,5,0,14.446942876567876,12.0,8.268962459484955,1.6923076923076923,43.0,41.30769230769231,11.0,3.6,3.0,4.266666666666667
3,34,5,0,14.304340173715172,12.75,7.925513980463981,1.8,54.0,52.2,29.0,6.6,2.4,3.4
78,34,5,0,14.509224469974477,11.5,8.472159200521704,2.0833333333333335,61.0,58.916666666666664,14.0,5.8,3.0,2.3333333333333335
53,34,5,0,13.614842934842928,11.0,7.520716838716831,2.0,47.0,45.0,15.0,8.0,4.8,3.6666666666666665
4,34,5,0,14.320948620823621,11.0,8.652869561965813,2.090909090909091,45.0,42.90909090909091,26.0,3.2,2.9,3.1333333333333333
30,34,5,0,14.276699037074033,13.0,8.012038828116316,2.2,48.0,45.8,16.0,4.2,3.2,3.6
79,34,5,0,14.053863053613053,12.0,7.8669095571095475,1.9166666666666667,48.0,46.083333333333336,15.0,5.0,3.8,3.7333333333333334
54,34,5,0,13.850286144411145,11.0,7.714092972027987,2.4545454545454546,43.0,40.54545454545455,13.0,6.6,5.5,3.6666666666666665
5,34,5,0,14.31812538850039,11.5,8.355347609751364,2.111111111111111,50.0,47.888888888888886,32.0,7.8,4.0,2.6666666666666665
31,34,5,0,13.876663974913972,12.0,7.4977356482406465,2.2,47.0,44.8,28.0,6.2,4.7,3.2666666666666666
80,34,5,0,14.332701562326555,12.333333333333334,8.193864020979014,1.8666666666666667,56.0,54.13333333333333,20.0,5.4,2.7,4.133333333333334
55,34,5,0,13.951258796758786,11.5,7.73378853202353,1.7142857142857142,49.0,47.285714285714285,23.0,4.8,5.2,4.6
6,34,5,0,14.513634171384174,11.333333333333334,8.844501688034192,1.75,47.0,45.25,43.0,7.4,2.0,2.933333333333333
81,34,5,0,14.05064195526695,11.0,8.152492855339098,1.125,45.0,43.875,35.0,3.2,3.9,3.466666666666667
32,34,5,0,14.221790376290372,12.0,8.111478180153172,1.9333333333333333,53.0,51.06666666666667,31.0,6.4,2.6,1.9333333333333333
56,34,5,0,14.248859002109,12.0,8.11678036158286,2.25,48.0,45.75,20.0,8.4,3.5,2.8
7,34,5,0,14.490761446886452,12.0,8.790724175824167,2.2857142857142856,55.0,52.714285714285715,44.0,8.0,4.5,2.3333333333333335
82,34,5,0,14.477015040515033,12.5,8.234307365967359,2.0,46.0,44.0,14.0,7.6,4.7,3.066666666666667
33,34,5,0,13.999431512931508,11.5,7.817166935286939,2.0,43.0,41.0,15.0,5.6,3.4,3.2666666666666666
8,34,5,0,14.117136779886776,12.0,7.834804679487179,2.142857142857143,50.0,47.857142857142854,42.0,8.2,3.8,4.066666666666666
57,34,5,0,14.33846767121767,11.5,8.342661883116877,2.5,43.0,40.5,22.0,3.4,3.8,3.0
83,34,5,0,13.997792041292035,11.0,7.95183260572761,1.8333333333333333,43.0,41.166666666666664,13.0,7.0,2.5,4.666666666666667
34,34,5,0,14.217743242868243,12.0,8.231584910228657,2.4166666666666665,46.0,43.583333333333336,24.0,5.6,5.6,3.2666666666666666
9,34,5,0,13.94775184537685,12.333333333333334,7.7475458207070735,2.0,43.0,41.0,22.0,7.4,3.7,3.6
84,34,5,0,13.991083694083688,12.0,7.587757186147185,1.9166666666666667,48.0,46.083333333333336,19.0,3.4,3.7,3.0
58,34,5,0,13.761916763791767,11.0,7.620704084110332,2.2,43.0,40.8,28.0,3.6,2.2,2.6666666666666665
35,34,5,0,14.678244449994457,12.0,8.937057106504602,2.2857142857142856,48.0,45.714285714285715,24.0,5.4,4.4,3.4
10,34,5,0,14.030749084249083,12.0,7.7963632783882755,1.5555555555555556,48.0,46.44444444444444,20.0,3.6,6.2,4.266666666666667
59,34,5,0,14.223190309690303,12.5,7.976418709623712,2.0,60.0,58.0,12.0,3.8,3.3,3.066666666666667
85,34,5,0,14.069685162060166,13.0,7.588131130536125,2.125,49.0,46.875,20.0,7.8,3.7,3.6666666666666665
36,34,5,0,14.473786754911757,10.0,8.705708463619716,2.0833333333333335,50.0,47.916666666666664,26.0,7.8,2.4,3.4
11,34,5,0,14.178110958485966,12.0,8.079063456959718,1.6,46.0,44.4,12.0,6.6,4.4,3.466666666666667
