seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
0,50,42,4,14.09095529470528,9.0,10.549059952547445,1.0,90.0,89.0,39.0,10.0,2.2,3.3333333333333335
50,50,42,2,12.590010864135868,8.333333333333334,8.593792612387608,1.0,80.0,79.0,22.0,14.0,3.9,6.466666666666667
25,50,42,2,13.471186979686989,9.0,9.487200171495175,1.0,72.0,71.0,17.0,3.8,5.3,3.1333333333333333
75,50,42,5,13.251096015096017,9.0,9.6450442024642,1.0,73.0,72.0,22.0,8.8,3.4,6.0
1,50,42,3,12.771764083139091,9.0,8.340200423465427,1.0,59.0,58.0,20.0,3.6,3.5,5.266666666666667
26,50,42,4,12.58814101176602,8.0,9.22566026556778,1.0,81.0,80.0,8.0,4.2,4.3,5.933333333333334
76,50,42,3,13.557321706071702,8.0,10.16680158868909,1.0,77.0,76.0,12.0,7.0,4.4,2.466666666666667
51,50,42,2,12.966139763014764,8.0,9.51935302544678,1.0,75.0,74.0,16.0,4.8,5.3,2.8666666666666667
2,50,42,4,13.57698901098901,8.5,10.099893699633713,1.0,87.0,86.0,21.0,4.0,5.7,2.8
52,50,42,2,13.691446248196243,9.0,9.836978809523794,1.0,69.0,68.0,8.0,6.6,5.3,6.4
77,50,42,4,13.449066586191584,9.0,9.717782719780212,1.0,65.0,64.0,35.0,3.8,3.7,5.066666666666666
27,50,42,0,13.23408215395715,8.333333333333334,9.25985408813409,1.75,71.0,69.25,44.0,13.2,4.1,2.2666666666666666
78,50,42,2,13.544931152181153,9.0,9.47162808441558,1.0,76.0,75.0,14.0,12.0,2.3,2.466666666666667
3,50,42,1,13.55155551393051,9.4,9.333713363303362,1.0,116.0,115.0,34.0,5.6,2.5,1.9333333333333333
53,50,42,2,12.644964965589958,8.0,8.539706806388052,1.0,83.0,82.0,14.0,2.6,6.8,6.133333333333334
28,50,42,2,12.83445121545122,9.4,8.180817076257087,1.0,54.0,53.0,11.0,12.4,5.0,3.2666666666666666
79,50,42,4,13.371785589410598,9.0,9.24462151098901,1.0,132.0,131.0,4.0,6.4,3.9,2.2666666666666666
29,50,42,3,13.220582320457325,8.5,9.797464865551131,1.0,86.0,85.0,24.0,4.2,3.1,4.333333333333333
4,50,42,3,13.416040820290823,8.25,10.032405575813081,1.0,98.0,97.0,16.0,7.4,3.2,2.0
54,50,42,3,12.216367396492396,8.2,8.406352214174712,1.0,72.0,71.0,17.0,2.6,5.4,3.0
80,50,42,1,13.440745754245757,9.6,9.20135892440891,1.0,59.0,58.0,14.0,6.0,2.7,6.4
30,50,42,1,14.263461871461862,8.333333333333334,10.779877975357982,1.0,109.0,108.0,6.0,8.2,2.3,3.0
5,50,42,2,13.62623482073482,8.666666666666666,9.983326988566995,1.0,87.0,86.0,41.0,5.0,4.6,4.533333333333333
55,50,42,4,13.093292998667991,8.0,9.570790464119206,1.0,69.0,68.0,10.0,6.0,3.8,3.0
81,50,42,1,13.239615398490393,8.25,9.46456152902651,1.0,67.0,66.0,50.0,3.4,2.6,3.066666666666667
6,50,42,5,14.351615509490506,8.6,10.640170166500162,1.0,67.0,66.0,62.0,15.0,4.2,4.0
31,50,42,3,12.646779845154846,9.0,8.629731665417925,1.0,56.0,55.0,32.0,3.2,3.2,4.333333333333333
56,50,42,2,13.93520204795205,9.5,9.538321192141193,1.0,78.0,77.0,33.0,2.8,2.2,3.8
82,50,42,1,13.349402056277059,9.333333333333334,9.324716017316025,1.0,74.0,73.0,16.0,4.0,2.8,3.2
7,50,42,2,14.301124653124651,8.333333333333334,10.670991874791861,1.0,78.0,77.0,54.0,2.4,6.7,3.0
32,50,42,1,13.826052516927513,8.083333333333334,10.038065863997119,1.0,84.0,83.0,35.0,5.2,2.3,2.1333333333333333
57,50,42,2,12.9625762987013,8.4,8.98565263528139,1.0,83.0,82.0,17.0,3.0,4.1,5.133333333333334
83,50,42,4,13.269220959595957,9.0,9.637185176767671,1.0,88.0,87.0,11.0,3.4,6.8,2.0
8,50,42,1,13.255136655011643,9.0,8.873327840909093,1.0,98.0,97.0,48.0,4.6,3.2,3.933333333333333
33,50,42,3,13.52614314851815,9.0,9.871029816433593,1.0,83.0,82.0,12.0,4.4,4.5,5.466666666666667
58,50,42,1,12.500835650460653,8.0,8.702510282772783,1.0,69.0,68.0,43.0,4.8,6.6,4.2
84,50,42,3,13.492124791874785,9.0,9.702540133200136,1.0,68.0,67.0,11.0,5.0,6.0,3.2666666666666666
34,50,42,3,13.659276279276277,9.0,9.948506604506616,1.0,93.0,92.0,15.0,7.0,3.4,2.8
9,50,42,3,13.63752075702076,9.0,9.572651721611741,1.0,53.0,52.0,19.0,8.8,3.0,2.2666666666666666
59,50,42,4,13.16471558996559,8.0,9.595571441891458,1.0,73.0,72.0,11.0,2.2,2.4,2.4
85,50,42,4,12.656900585525586,8.666666666666666,8.423129239232988,1.0,100.0,99.0,1.0,8.4,3.9,3.6666666666666665
35,50,42,0,14.454866605616614,10.0,10.128260042735054,1.5,74.0,72.5,55.0,10.2,3.4,3.6666666666666665
60,50,42,4,13.142611527361526,8.0,9.600802507215024,1.0,69.0,68.0,17.0,9.2,1.8,2.6666666666666665
10,50,42,0,12.987192168942167,9.0,8.939286501831491,1.8,83.0,81.2,15.0,3.6,4.4,6.533333333333333
86,50,42,1,13.127748487623496,8.0,9.387741846625591,1.0,89.0,88.0,2.0,9.4,6.7,1.8
36,50,42,4,13.887178404928402,8.0,10.455103332500828,1.0,91.0,90.0,31.0,3.6,3.9,2.3333333333333335
61,50,42,1,13.998118534243526,9.0,10.281317026029523,1.0,82.0,81.0,46.0,4.2,4.8,2.7333333333333334
11,50,42,1,13.251033327783324,9.0,9.15677667055166,1.0,65.0,64.0,10.0,2.8,4.2,3.1333333333333333
37,50,42,2,13.754626887001884,9.333333333333334,9.915372125652127,1.0,81.0,80.0,8.0,3.4,4.1,5.8
87,50,42,0,13.313644563769563,9.0,9.228175914085899,1.2,67.0,65.8,37.0,1.2,3.6,4.866666666666666
62,50,42,1,13.56833386058386,8.5,9.840882980075474,1.0,97.0,96.0,2.0,10.8,6.7,3.7333333333333334
12,50,42,2,14.12204978354979,9.0,10.442780476190471,1.0,108.0,107.0,1.0,5.2,3.8,3.2
38,50,42,1,12.47568026418026,8.0,8.493377556332556,1.0,52.0,51.0,7.0,7.4,6.4,3.6
88,50,42,3,13.090004620379625,8.0,9.721063709623722,1.0,73.0,72.0,22.0,3.0,2.5,2.6
63,50,42,2,13.012440240315241,9.0,9.102707303252306,1.0,96.0,95.0,24.0,2.4,5.5,3.8666666666666667
13,50,42,3,13.736748043623047,8.666666666666666,10.25854547743923,1.0,86.0,85.0,30.0,7.6,9.8,4.466666666666667
39,50,42,3,13.706260378510379,8.4,10.409742942612962,1.0,93.0,92.0,58.0,2.0,8.6,1.8
89,50,42,1,14.131018800643796,8.0,10.944245198273926,1.0,72.0,71.0,36.0,5.6,10.5,3.4
64,50,42,2,11.779877650127652,9.0,7.385189315406819,1.0,55.0,54.0,16.0,11.0,10.8,4.266666666666667
14,50,42,3,13.821292415917418,9.0,10.143530688061936,1.0,80.0,79.0,25.0,14.6,4.9,1.8
40,50,42,1,12.342637459762464,9.0,7.906712025752041,1.0,69.0,68.0,10.0,10.4,10.8,4.0
65,50,42,1,13.662843836718839,8.0,10.332998592934839,1.0,73.0,72.0,8.0,4.4,7.3,4.8
90,50,42,2,13.73895066045066,7.666666666666667,10.700846884226882,1.0,74.0,73.0,21.0,2.6,5.2,5.933333333333334
15,50,42,0,13.828459748584757,8.5,10.134147370962356,1.2,78.0,76.8,10.0,9.8,3.3,2.7333333333333334
41,50,42,1,13.503998737373733,9.0,9.714780858585842,1.0,74.0,73.0,18.0,6.2,4.3,6.266666666666667
66,50,42,5,12.892500707625704,8.0,9.339766185481178,1.0,82.0,81.0,2.0,10.4,1.5,5.2
91,50,42,2,12.812805527805526,9.333333333333334,8.226229187479184,1.0,62.0,61.0,17.0,7.6,3.4,3.0
16,50,42,7,13.169618381618381,8.5,9.517189017649017,1.0,66.0,65.0,37.0,8.4,5.3,2.8
42,50,42,4,12.301197802197812,8.0,8.512685494505492,1.0,73.0,72.0,4.0,9.6,3.8,4.533333333333333
67,50,42,3,13.263128232878243,8.0,9.651204083971585,1.0,83.0,82.0,20.0,3.6,4.4,4.266666666666667
92,50,42,2,13.327853410478408,9.076923076923077,9.58184048396048,1.0,111.0,110.0,10.0,3.8,7.0,3.8666666666666667
17,50,42,2,13.277080738705736,7.75,9.796043482905988,1.0,70.0,69.0,9.0,4.6,7.2,2.6
43,50,42,3,13.065684579309583,9.0,9.063138356782115,1.0,58.0,57.0,20.0,2.8,3.4,2.2666666666666666
93,50,42,0,13.311611346986354,8.0,9.434336510989022,1.5555555555555556,74.0,72.44444444444444,32.0,12.0,2.2,3.6666666666666665
68,50,42,2,13.071568972693976,9.0,9.198362524142524,1.0,74.0,73.0,27.0,7.4,2.3,3.2
18,50,42,2,13.180922632922641,9.0,9.285494634254636,1.0,88.0,87.0,54.0,5.8,2.5,3.533333333333333
94,50,42,5,13.262995504495507,9.0,8.969626345321332,1.0,69.0,68.0,12.0,5.6,4.3,2.3333333333333335
44,50,42,2,13.498682595182595,9.0,9.564255516705513,1.0,81.0,80.0,23.0,7.6,6.9,5.066666666666666
69,50,42,3,13.200030871905872,10.0,8.952978080946842,1.0,77.0,76.0,2.0,9.4,5.8,3.7333333333333334
19,50,42,2,13.498790501165495,7.666666666666667,10.141692077505839,1.0,91.0,90.0,21.0,10.4,4.2,4.533333333333333
95,50,42,3,12.759214590964591,9.0,8.721475265567763,1.0,75.0,74.0,75.0,3.0,4.3,2.466666666666667
45,50,42,0,14.422224136974137,8.5,11.064332012154512,1.5,94.0,92.5,26.0,9.2,2.9,2.6666666666666665
70,50,42,2,12.711202367077368,9.0,8.425491676379194,1.0,74.0,73.0,25.0,7.6,3.6,3.6666666666666665
20,50,42,0,13.946882104007104,9.0,10.010380372821611,1.3333333333333333,71.0,69.66666666666667,9.0,16.6,4.6,3.533333333333333
96,50,42,2,13.556989441114442,9.0,9.867650407786652,1.0,80.0,79.0,4.0,4.8,7.1,3.466666666666667
46,50,42,3,14.508448135198128,8.666666666666666,11.10917078671327,1.0,91.0,90.0,4.0,6.2,5.0,2.7333333333333334
71,50,42,3,13.384805694305696,9.0,9.304636013986011,1.0,57.0,56.0,29.0,5.8,2.8,3.7333333333333334
21,50,42,0,13.116861444111443,9.0,8.997121665001675,1.6,70.0,68.4,10.0,1.6,3.1,5.666666666666667
97,50,42,3,12.526573815073814,9.0,8.471934448329446,1.0,59.0,58.0,31.0,5.4,2.2,3.6
47,50,42,0,12.646260475635478,7.5,9.22658027181152,1.5,74.0,72.5,4.0,9.4,1.9,5.266666666666667
72,50,42,0,13.195143537018534,8.5,9.132587163530916,1.6666666666666667,89.0,87.33333333333333,6.0,5.2,7.0,4.466666666666667
22,50,42,2,12.933658757908761,8.555555555555555,9.196108790376284,1.0,84.0,83.0,25.0,2.8,5.5,4.0
98,50,42,2,13.96829075091576,9.0,10.254180233516472,1.0,70.0,69.0,13.0,3.6,7.8,6.066666666666666
48,50,42,6,13.299719891219892,9.0,9.690518205128202,1.0,65.0,64.0,10.0,2.4,4.1,5.2
73,50,42,4,13.220924755799752,8.571428571428571,9.594189661172173,1.0,68.0,67.0,4.0,14.0,7.4,2.066666666666667
23,50,42,1,13.379508019758013,8.666666666666666,9.465819787157294,1.0,90.0,89.0,53.0,8.0,1.3,5.2
99,50,42,1,13.830990856365847,8.833333333333334,10.1689757604895,1.0,74.0,73.0,47.0,2.2,3.7,2.2
49,50,42,3,13.40181974969475,8.75,9.560392841880352,1.0,71.0,70.0,11.0,7.6,3.2,4.533333333333333
74,50,42,1,12.973725690975687,9.0,8.62694298867799,1.0,75.0,74.0,13.0,5.0,3.7,3.933333333333333
24,50,42,2,12.8712544955045,9.5,8.295800705128208,1.0,73.0,72.0,2.0,11.8,4.3,4.333333333333333
100,50,42,1,12.608931457431455,8.6,8.867694437229442,1.0,75.0,74.0,10.0,6.6,4.9,2.7333333333333334
50,50,42,2,12.590010864135868,8.333333333333334,8.593792612387608,1.0,80.0,79.0,22.0,14.0,3.9,6.466666666666667
75,50,42,5,13.251096015096017,9.0,9.6450442024642,1.0,73.0,72.0,22.0,8.8,3.4,6.0
25,50,42,2,13.471186979686989,9.0,9.487200171495175,1.0,72.0,71.0,17.0,3.8,5.3,3.1333333333333333
